id,scenarioname,periodname,sitename,sitetype,productname,cost,revenue,quantity,perunitcost,perunitrevenue,perunittransportationcost,perunitshipmentcost,perunitintransitholdingcost,perunitdutycost,perunitproductioncost,perunitprebuildholdingcost,perunitturnestimatedholdingcost,perunitstoragecost,perunitsourcingcost,perunitfacilityfixedoperatingcost,perunitfacilityfixedstartupcost,perunitfacilityfixedclosingcost,perunitworkcenterfixedoperatingcost,perunitworkcenterfixedstartupcost,perunitworkcenterfixedclosingcost,perunitinboundhandlingcost,perunitoutboundhandlingcost,perunitprocesscost,perunituserdefinedcost,latitude,longitude
243,3. All 4 MFGs,SinglePeriod,CZ_Fresno,Customer,FG_0001,8926141.53591597,0.0,645.0,13838.979125451116,0.0,7871.992521062724,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1304.468815999158,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,36.739442,-119.784831
244,3. All 4 MFGs,SinglePeriod,CZ_Seattle,Customer,FG_0002,8826856.701265758,0.0,505.0,17478.92416092229,0.0,9793.115468045977,0.0,0.0,0.0,4347.640909984905,0.0,0.0,0.0,0.0,2938.167782891411,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,47.603832,-122.330062
245,3. All 4 MFGs,SinglePeriod,CZ_Pittsburgh,Customer,FG_0002,9794806.005363828,0.0,729.0,13435.947881157514,0.0,5750.139188281199,0.0,0.0,0.0,4347.640909984905,0.0,0.0,0.0,0.0,2938.167782891411,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,40.441694,-79.990086
246,3. All 4 MFGs,SinglePeriod,CZ_Raleigh,Customer,FG_0002,12197419.417168373,0.0,862.0,14150.138534998114,0.0,6464.329842121797,0.0,0.0,0.0,4347.640909984905,0.0,0.0,0.0,0.0,2938.167782891411,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,35.780398,-78.639099
247,3. All 4 MFGs,SinglePeriod,CZ_Atlanta,Customer,FG_0002,12702960.270649096,0.0,885.0,14353.627424462255,0.0,6667.81873158594,0.0,0.0,0.0,4347.640909984905,0.0,0.0,0.0,0.0,2938.167782891411,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,33.748992,-84.390264
248,3. All 4 MFGs,SinglePeriod,CZ_Salt Lake City,Customer,FG_0002,15385835.934285989,0.0,936.0,16437.858904151697,0.0,8752.050211275382,0.0,0.0,0.0,4347.640909984905,0.0,0.0,0.0,0.0,2938.167782891411,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,40.75962,-111.886798
249,3. All 4 MFGs,SinglePeriod,CZ_Fresno,Customer,FG_0002,12662988.776832495,0.0,720.0,17587.484412267353,0.0,9901.675719391038,0.0,0.0,0.0,4347.640909984905,0.0,0.0,0.0,0.0,2938.167782891411,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,36.739442,-119.784831
250,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Seattle,Customer,FG_0001,12275870.535230473,0.0,894.0,13731.39880898263,0.0,7754.283398570942,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1277.115410411689,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,47.603832,-122.330062
251,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Pittsburgh,Customer,FG_0001,6249032.531345516,0.0,645.0,9688.422529217854,0.0,3711.307118806165,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1277.115410411689,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,40.441694,-79.990086
252,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Raleigh,Customer,FG_0001,5211709.204712285,0.0,501.0,10402.613183058455,0.0,4425.497772646765,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1277.115410411689,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,35.780398,-78.639099
253,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Atlanta,Customer,FG_0001,8569730.474598257,0.0,808.0,10606.102072522595,0.0,4628.986662110907,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1277.115410411689,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,33.748992,-84.390264
254,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Salt Lake City,Customer,FG_0001,7969529.47078916,0.0,628.0,12690.333552212038,0.0,6713.218141800348,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1277.115410411689,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,40.75962,-111.886798
255,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Fresno,Customer,FG_0001,8926773.593911361,0.0,645.0,13839.95906032769,0.0,7862.843649916003,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1277.115410411689,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,36.739442,-119.784831
256,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Seattle,Customer,FG_0002,8104106.7862206865,0.0,505.0,16047.736210337993,0.0,9626.168948381248,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,1021.567261956746,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,47.603832,-122.330062
257,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Pittsburgh,Customer,FG_0002,8751469.989387875,0.0,729.0,12004.759930573216,0.0,5583.192668616472,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,1021.567261956746,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,40.441694,-79.990086
258,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Raleigh,Customer,FG_0002,10963735.403764708,0.0,862.0,12718.950584413815,0.0,6297.383322457071,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,1021.567261956746,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,35.780398,-78.639099
259,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Atlanta,Customer,FG_0002,11436358.934381992,0.0,885.0,12922.439473877957,0.0,6500.872211921213,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,1021.567261956746,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,33.748992,-84.390264
260,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Salt Lake City,Customer,FG_0002,14046244.012539089,0.0,936.0,15006.670953567402,0.0,8585.103691610657,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,1021.567261956746,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,40.75962,-111.886798
261,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Fresno,Customer,FG_0002,11632533.452411799,0.0,720.0,16156.296461683054,0.0,9734.72919972631,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,1021.567261956746,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,36.739442,-119.784831
262,4. Max Emissions Cap,SinglePeriod,CZ_Seattle,Customer,FG_0001,12244835.229412805,0.0,894.0,13696.683701804033,0.0,7763.432269717662,0.0,0.0,0.0,3962.517788389232,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,47.603832,-122.330062
263,4. Max Emissions Cap,SinglePeriod,CZ_Pittsburgh,Customer,FG_0001,6226641.287215322,0.0,645.0,9653.707422039259,0.0,3720.455989952884,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,40.441694,-79.990086
264,4. Max Emissions Cap,SinglePeriod,CZ_Raleigh,Customer,FG_0001,5194316.936015809,0.0,501.0,10367.898075879859,0.0,4434.646643793484,0.0,0.0,0.0,3962.517788389232,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,35.780398,-78.639099
265,4. Max Emissions Cap,SinglePeriod,CZ_Atlanta,Customer,FG_0001,8541680.66799795,0.0,808.0,10571.386965343998,0.0,4638.135533257626,0.0,0.0,0.0,3962.517788389232,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,33.748992,-84.390264
266,4. Max Emissions Cap,SinglePeriod,CZ_Salt Lake City,Customer,FG_0001,7947728.383481002,0.0,628.0,12655.618445033442,0.0,6722.367012947068,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,40.75962,-111.886798
