id,scenarioname,periodname,bomname,facilityname,productname,producttype,bomquantity,bomquantityuom,bomweight,bomweightuom,bomvolume,bomvolumeuom,latitude,longitude
1130,2. Brazil and Vietnam MFG Only,SinglePeriod,BOM_FG_0002,MFG_Ho Chi Minh,Pack_Style_2,Component,18548.0,EA,18548.0,LB,18548.0,CFT,10.7758439,106.7017555
1131,2. Brazil and Vietnam MFG Only,SinglePeriod,BOM_FG_0002,MFG_Ho Chi Minh,Water_2,Component,1310.032887032,EA,1310.032887032,LB,1310.032887032,CFT,10.7758439,106.7017555
1132,4. Max Emissions Cap,SinglePeriod,BOM_FG_0001,MFG_Shanghai,RM_0001,Component,514.880646826574,EA,514.880646826574,LB,514.880646826574,CFT,31.2322758,121.4692071
1133,4. Max Emissions Cap,SinglePeriod,BOM_FG_0001,MFG_Shanghai,Pack_Style_1,Component,514.880646826574,EA,514.880646826574,LB,514.880646826574,CFT,31.2322758,121.4692071
1134,4. Max Emissions Cap,SinglePeriod,BOM_FG_0001,MFG_Shanghai,Water_1,Component,45.457096468563,EA,45.457096468563,LB,45.457096468563,CFT,31.2322758,121.4692071
1135,4. Max Emissions Cap,SinglePeriod,BOM_FG_0001,MFG_Belo Horizonte,RM_0001,Component,7727.119353173426,EA,7727.119353173426,LB,7727.119353173426,CFT,-19.9227,-43.9451
1136,4. Max Emissions Cap,SinglePeriod,BOM_FG_0001,MFG_Belo Horizonte,Pack_Style_1,Component,7727.119353173426,EA,7727.119353173426,LB,7727.119353173426,CFT,-19.9227,-43.9451
1137,4. Max Emissions Cap,SinglePeriod,BOM_FG_0001,MFG_Belo Horizonte,Water_1,Component,682.201617066437,EA,682.201617066437,LB,682.201617066437,CFT,-19.9227,-43.9451
1138,4. Max Emissions Cap,SinglePeriod,BOM_FG_0002,MFG_Shanghai,RM_0002,Component,13911.0,EA,13911.0,LB,13911.0,CFT,31.2322758,121.4692071
1139,4. Max Emissions Cap,SinglePeriod,BOM_FG_0002,MFG_Shanghai,Pack_Style_2,Component,18548.0,EA,18548.0,LB,18548.0,CFT,31.2322758,121.4692071
1140,4. Max Emissions Cap,SinglePeriod,BOM_FG_0002,MFG_Shanghai,Water_2,Component,1310.032887032,EA,1310.032887032,LB,1310.032887032,CFT,31.2322758,121.4692071
1141,Baseline,SinglePeriod,BOM_FG_0001,MFG_Shanghai,RM_0001,Component,514.880646826574,EA,514.880646826574,LB,514.880646826574,CFT,31.2322758,121.4692071
1142,Baseline,SinglePeriod,BOM_FG_0001,MFG_Shanghai,Pack_Style_1,Component,514.880646826574,EA,514.880646826574,LB,514.880646826574,CFT,31.2322758,121.4692071
1143,Baseline,SinglePeriod,BOM_FG_0001,MFG_Shanghai,Water_1,Component,45.457096468563,EA,45.457096468563,LB,45.457096468563,CFT,31.2322758,121.4692071
1144,Baseline,SinglePeriod,BOM_FG_0001,MFG_Belo Horizonte,RM_0001,Component,7727.119353173426,EA,7727.119353173426,LB,7727.119353173426,CFT,-19.9227,-43.9451
1145,Baseline,SinglePeriod,BOM_FG_0001,MFG_Belo Horizonte,Pack_Style_1,Component,7727.119353173426,EA,7727.119353173426,LB,7727.119353173426,CFT,-19.9227,-43.9451
1146,Baseline,SinglePeriod,BOM_FG_0001,MFG_Belo Horizonte,Water_1,Component,682.201617066437,EA,682.201617066437,LB,682.201617066437,CFT,-19.9227,-43.9451
1147,Baseline,SinglePeriod,BOM_FG_0002,MFG_Shanghai,RM_0002,Component,13911.0,EA,13911.0,LB,13911.0,CFT,31.2322758,121.4692071
1148,Baseline,SinglePeriod,BOM_FG_0002,MFG_Shanghai,Pack_Style_2,Component,18548.0,EA,18548.0,LB,18548.0,CFT,31.2322758,121.4692071
1149,Baseline,SinglePeriod,BOM_FG_0002,MFG_Shanghai,Water_2,Component,1310.032887032,EA,1310.032887032,LB,1310.032887032,CFT,31.2322758,121.4692071
