id,scenarioname,periodname,facilityname,productname,activitytype,cost,quantity,perunitcost,perunittransportationcost,perunitshipmentcost,perunitintransitholdingcost,perunitdutycost,perunitproductioncost,perunitprebuildholdingcost,perunitturnestimatedholdingcost,perunitstoragecost,perunitsourcingcost,perunitfacilityfixedoperatingcost,perunitfacilityfixedstartupcost,perunitfacilityfixedclosingcost,perunitworkcenterfixedoperatingcost,perunitworkcenterfixedstartupcost,perunitworkcenterfixedclosingcost,perunitinboundhandlingcost,perunitoutboundhandlingcost,perunitprocesscost,perunituserdefinedcost,latitude,longitude
522,Baseline,SinglePeriod,DC_Detroit,FG_0001,Facility,36979055.04498508,4121.0,8973.320806839378,3240.069374753006,0.0,0.0,0.0,3962.517788389232,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,42.331551,-83.04664
523,Baseline,SinglePeriod,DC_Detroit,FG_0002,Facility,49702463.50571873,4637.0,10718.667997782775,5249.257462021704,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,42.331551,-83.04664
524,Baseline,SinglePeriod,DC_Detroit,FG_0001,FacilityPostFixedCost,36979055.04498508,4121.0,8973.320806839378,3240.069374753006,0.0,0.0,0.0,3962.517788389232,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,42.331551,-83.04664
525,Baseline,SinglePeriod,DC_Detroit,FG_0002,FacilityPostFixedCost,49702463.50571873,4637.0,10718.667997782775,5249.257462021704,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,42.331551,-83.04664
412,1. China 2 MFGs Only,SinglePeriod,MFG_Shanghai,FG_0001,Facility,14011400.0,4121.0,3400.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
413,1. China 2 MFGs Only,SinglePeriod,MFG_Chengdu,FG_0002,Facility,12828225.48866682,3018.405997333369,4250.0,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.659863,104.063372
414,1. China 2 MFGs Only,SinglePeriod,MFG_Shanghai,FG_0002,Facility,6879024.511333181,1618.594002666631,4250.0,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
415,1. China 2 MFGs Only,SinglePeriod,MFG_Shanghai,FG_0001,FacilityPostFixedCost,17242377.65998504,4121.0,4184.02758068067,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
416,1. China 2 MFGs Only,SinglePeriod,MFG_Chengdu,FG_0002,FacilityPostFixedCost,17328225.48866682,3018.405997333369,5740.85312048,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1490.85312048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.659863,104.063372
417,1. China 2 MFGs Only,SinglePeriod,MFG_Shanghai,FG_0002,FacilityPostFixedCost,8148046.85134814,1618.594002666631,5034.027580680669,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
418,1. China 2 MFGs Only,SinglePeriod,Port_Hong Kong,FG_0001,Facility,22764755.08497242,4121.0,5524.085194120946,1340.057613440276,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
419,1. China 2 MFGs Only,SinglePeriod,Port_Hong Kong,FG_0002,Facility,32148733.973521914,4637.0,6933.089060496423,1438.96088710523,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
420,1. China 2 MFGs Only,SinglePeriod,Port_Hong Kong,FG_0001,FacilityPostFixedCost,22764755.08497242,4121.0,5524.085194120946,1340.057613440276,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
421,1. China 2 MFGs Only,SinglePeriod,Port_Hong Kong,FG_0002,FacilityPostFixedCost,32148733.973521914,4637.0,6933.089060496423,1438.96088710523,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
422,1. China 2 MFGs Only,SinglePeriod,Port_Long Beach,FG_0001,Facility,24513702.50332139,4121.0,5948.483985275756,1764.456404595086,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769016,-118.191604
423,1. China 2 MFGs Only,SinglePeriod,Port_Long Beach,FG_0002,Facility,34116671.16810677,4637.0,7357.487851651234,1863.359678260041,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769016,-118.191604
424,1. China 2 MFGs Only,SinglePeriod,Port_Long Beach,FG_0001,FacilityPostFixedCost,24513702.50332139,4121.0,5948.483985275756,1764.456404595086,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769016,-118.191604
