id,scenarioname,dartversion,riskscore,customerrisk,facilityrisk,supplierrisk,networkrisk,riskratingname
107,1. China 2 MFGs Only,2.6.7,5.754261758339,7.296681925384,5.745087524495,,4.222850671908,OptiRisk
108,3. All 4 MFGs,2.6.7,5.553861761552,7.296681925384,5.291098086297,,4.126358008025,OptiRisk
109,2. Brazil and Vietnam MFG Only,2.6.7,5.783278727383,7.296681925384,5.855795663026,,4.18285520661,OptiRisk
110,4. Max Emissions Cap,2.6.7,5.651490849833,7.296681925384,5.564099904541,,4.111168908634,OptiRisk
111,Baseline,2.6.7,5.651490849833,7.296681925384,5.564099904541,,4.111168908634,OptiRisk
