id,scenarioname,periodname,facilityname,initialstate,initialstatus,optimizedstatus,totalfacilitycost,operatingcost,startupcost,closingcost,totalinboundhandlingcost,totaloutboundhandlingcost,totalprebuildholdingcost,totalturnestimatedholdingcost,totalstoragecost,totalintransitholdingcost,totalproductioncost,totalprocesscost,totalinboundquantity,totaloutboundquantity,totalinventoryquantity,totalproductionquantity,quantityuom,totalinboundvolume,totaloutboundvolume,totalinventoryvolume,totalproductionvolume,volumeuom,totalinboundweight,totaloutboundweight,totalinventoryweight,totalproductionweight,weightuom,throughputcapacity,throughputcapacityuom,throughpututilization,storagecapacity,storagecapacityuom,storageutilization,facilityriskscore,concentrationrisk,sourcecountrisk,utilizationrisk,geographicrisk,latitude,longitude,totalstockingcost,totaldestockingcost,userdefinedrisk
994,3. All 4 MFGs,SinglePeriod,MFG_Shanghai,existing,Open,Open,17385611.806405086,4500000.0,0,0,0.0,0.0,0,0,0,0.0,12885611.806405086,0,0.0,3083.396725013266,0,24738.691600567,EA,0.0,3083.396725013266,0,24738.691600567,CFT,0.0,3083.396725013266,0,24738.691600567,LB,,"",,,"",,3.7910931215,4.041326158971,,,3.640953299017,31.2322758,121.4692071,,,
995,3. All 4 MFGs,SinglePeriod,MFG_Chengdu,existing,Open,Open,9631290.195466727,4500000.0,0,0,0.0,0.0,0,0,0,0.0,5131290.195466729,0,0.0,1207.362398933348,0,10000.0,EA,0.0,1207.362398933348,0,10000.0,CFT,0.0,1207.362398933348,0,10000.0,LB,,"",,,"",,2.581944550426,1.689291161757,,,3.117536583628,30.659863,104.063372,,,
996,3. All 4 MFGs,SinglePeriod,MFG_Ho Chi Minh,existing,Open,Open,8018405.997333369,5000000.0,0,0,0.0,0.0,0,0,0,0.0,3018405.997333369,0,0.0,603.681199466674,0,5000.0,EA,0.0,603.681199466674,0,5000.0,CFT,0.0,603.681199466674,0,5000.0,LB,,"",,,"",,4.197184320082,1.344645580878,,,5.908707563605,10.7758439,106.7017555,,,
997,3. All 4 MFGs,SinglePeriod,MFG_Belo Horizonte,existing,Open,Open,20454238.70634686,5000000.0,0,0,0.0,0.0,0,0,0,0.0,15454238.706346853,0,0.0,3863.559676586713,0,20000.000000000004,EA,0.0,3863.559676586713,0,20000.000000000004,CFT,0.0,3863.559676586713,0,20000.000000000004,LB,,"",,,"",,5.794275772925,5.617195152866,,,5.900524144961,-19.9227,-43.9451,,,
998,3. All 4 MFGs,SinglePeriod,MFG_Overflow,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,1.0,1.0,,,,,,,,
999,2. Brazil and Vietnam MFG Only,SinglePeriod,DC_Detroit,existing,Open,Open,4739500.0,0.0,0,0,3451600.0,1287900.0,0,0,0,0.0,0.0,0,8758.0,8758.0,0,0.0,EA,8758.0,8758.0,0,0.0,CFT,8758.0,8758.0,0,0.0,LB,,"",,,"",,6.322848471548,10.0,9.0,,3.045696943096,42.331551,-83.04664,,,
1000,2. Brazil and Vietnam MFG Only,SinglePeriod,Port_Boston,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,3863.559676586713,3863.559676586713,0,0.0,EA,3863.559676586713,3863.559676586713,0,0.0,CFT,3863.559676586713,3863.559676586713,0,0.0,LB,,"",,,"",,5.592990306472,5.617195152866,10.0,,3.815663521225,42.360253,-71.058291,,,
1001,2. Brazil and Vietnam MFG Only,SinglePeriod,Port_Long Beach,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4894.440323413287,4894.440323413287,0,0.0,EA,4894.440323413287,4894.440323413287,0,0.0,CFT,4894.440323413287,4894.440323413287,0,0.0,LB,,"",,,"",,5.413126984341,7.382804847134,10.0,,2.396571060402,33.769016,-118.191604,,,
1002,2. Brazil and Vietnam MFG Only,SinglePeriod,Port_Hong Kong,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,2.29490306866,1.0,,,3.071844909857,22.2996535,114.1675485,,,
1003,2. Brazil and Vietnam MFG Only,SinglePeriod,Port_Kuala Lumpur,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4894.440323413287,4894.440323413287,0,0.0,EA,4894.440323413287,4894.440323413287,0,0.0,CFT,4894.440323413287,4894.440323413287,0,0.0,LB,,"",,,"",,6.704701753773,7.382804847134,10.0,,4.979720599266,3.1516964,101.6942371,,,
1004,2. Brazil and Vietnam MFG Only,SinglePeriod,Port_Recife,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,3863.559676586713,3863.559676586713,0,0.0,EA,3863.559676586713,3863.559676586713,0,0.0,CFT,3863.559676586713,3863.559676586713,0,0.0,LB,,"",,,"",,6.63542061834,5.617195152866,10.0,,5.900524144961,-8.0642,-34.8782,,,
1005,2. Brazil and Vietnam MFG Only,SinglePeriod,MFG_Ho Chi Minh,existing,Open,Open,29214761.29365315,5000000.0,0,0,0.0,0.0,0,0,0,0.0,24214761.29365315,0,0.0,4894.440323413287,0,39738.691600567,EA,0.0,4894.440323413287,0,39738.691600567,CFT,0.0,4894.440323413287,0,39738.691600567,LB,,"",,,"",,6.461494044928,7.382804847134,,,5.908707563605,10.7758439,106.7017555,,,
1006,2. Brazil and Vietnam MFG Only,SinglePeriod,MFG_Belo Horizonte,existing,Open,Open,20454238.70634686,5000000.0,0,0,0.0,0.0,0,0,0,0.0,15454238.706346853,0,0.0,3863.559676586713,0,20000.000000000004,EA,0.0,3863.559676586713,0,20000.000000000004,CFT,0.0,3863.559676586713,0,20000.000000000004,LB,,"",,,"",,5.794275772925,5.617195152866,,,5.900524144961,-19.9227,-43.9451,,,
1007,2. Brazil and Vietnam MFG Only,SinglePeriod,MFG_Overflow,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,1.0,1.0,,,,,,,,
1008,4. Max Emissions Cap,SinglePeriod,DC_Detroit,existing,Open,Open,4739500.0,0.0,0,0,3451600.0,1287900.0,0,0,0,0.0,0.0,0,8758.0,8758.0,0,0.0,EA,8758.0,8758.0,0,0.0,CFT,8758.0,8758.0,0,0.0,LB,,"",,,"",,6.322848471548,10.0,9.0,,3.045696943096,42.331551,-83.04664,,,
1009,4. Max Emissions Cap,SinglePeriod,Port_Boston,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,3863.559676586713,3863.559676586713,0,0.0,EA,3863.559676586713,3863.559676586713,0,0.0,CFT,3863.559676586713,3863.559676586713,0,0.0,LB,,"",,,"",,5.592990306472,5.617195152866,10.0,,3.815663521225,42.360253,-71.058291,,,
1010,4. Max Emissions Cap,SinglePeriod,Port_Long Beach,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4894.440323413287,4894.440323413287,0,0.0,EA,4894.440323413287,4894.440323413287,0,0.0,CFT,4894.440323413287,4894.440323413287,0,0.0,LB,,"",,,"",,5.413126984341,7.382804847134,10.0,,2.396571060402,33.769016,-118.191604,,,
1011,4. Max Emissions Cap,SinglePeriod,Port_Hong Kong,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4894.440323413287,4894.440323413287,0,0.0,EA,4894.440323413287,4894.440323413287,0,0.0,CFT,4894.440323413287,4894.440323413287,0,0.0,LB,,"",,,"",,5.750763909068,7.382804847134,10.0,,3.071844909857,22.2996535,114.1675485,,,
1012,4. Max Emissions Cap,SinglePeriod,Port_Kuala Lumpur,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,3.487325374541,1.0,,,4.979720599266,3.1516964,101.6942371,,,
1013,4. Max Emissions Cap,SinglePeriod,Port_Recife,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,3863.559676586713,3863.559676586713,0,0.0,EA,3863.559676586713,3863.559676586713,0,0.0,CFT,3863.559676586713,3863.559676586713,0,0.0,LB,,"",,,"",,6.63542061834,5.617195152866,10.0,,5.900524144961,-8.0642,-34.8782,,,
