id,scenarioname,neoversion,dartversion,runstarttime,totalruntime,solvetime,optimizationgappercentage,totalsupplychaincost,totalrevenue,totalprofit,totalserveddemandquantity,totalunserveddemandquantity,quantityuom,totalserveddemandvolume,totalunserveddemandvolume,volumeuom,totalserveddemandweight,totalunserveddemandweight,weightuom,totaltransportationcost,totalshipmentcost,totalintransitholdingcost,totaldutycost,totalproductioncost,totalprebuildholdingcost,totalturnestimatedholdingcost,totalstoragecost,totalsourcingcost,totalfixedoperatingcost,totalfixedstartupcost,totalfixedclosingcost,totalinboundhandlingcost,totaloutboundhandlingcost,totalprocesscost,totaluserdefinedcost,riskscore,totalstockingcost,totaldestockingcost,resourcesize,consumedmemory,solvestatus,solvetype,primaryriskrating
120,1. China 2 MFGs Only,2.6.11,2.6.7,2023-07-28 21:10:46,0.155159683333,0.004626699289,0.0,116642020.65660943,0.0,-116642020.65660943,8758.0,0.0,EA,8758.0,0.0,CFT,8758.0,0.0,LB,69183870.65660943,0.0,0.0,0.0,33718650.0,0.0,0.0,0.0,0.0,9000000.0,0.0,0.0,3451600.0,1287900.0,0.0,0.0,5.754261758339,,,1.953125,0.040703125,,,OptiRisk
121,3. All 4 MFGs,2.6.11,2.6.7,2023-07-28 21:11:46,0.157840983333,0.00845328172,0.0,120769474.6045262,0.0,-120769474.6045262,8758.0,0.0,EA,8758.0,0.0,CFT,8758.0,0.0,LB,60540427.89897417,0.0,0.0,0.0,36489546.705552034,0.0,0.0,0.0,0.0,19000000.0,0.0,0.0,3451600.0,1287900.0,0.0,0.0,5.553861761552,,,1.953125,0.04294921875,,,OptiRisk
122,2. Brazil and Vietnam MFG Only,2.6.11,2.6.7,2023-07-28 21:11:49,0.139658633333,0.001550618807,0.0,114137094.38929321,0.0,-114137094.38929321,8758.0,0.0,EA,8758.0,0.0,CFT,8758.0,0.0,LB,59728594.38929321,0.0,0.0,0.0,39669000.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,3451600.0,1287900.0,0.0,0.0,5.783278727383,,,1.953125,0.044013671875,,,OptiRisk
123,4. Max Emissions Cap,2.6.11,2.6.7,2023-07-28 21:13:09,0.137406266667,0.001733267307,0.0,120221677.87494276,0.0,-120221677.87494276,8758.0,0.0,EA,8758.0,0.0,CFT,8758.0,0.0,LB,60445392.06899074,0.0,0.0,0.0,36036785.80595203,0.0,0.0,0.0,0.0,19000000.0,0.0,0.0,3451600.0,1287900.0,0.0,0.0,5.651490849833,,,1.953125,0.043828125,,,OptiRisk
124,Baseline,2.6.11,2.6.7,2023-08-04 20:45:12,0.155646933333,0.000394284725,0.0,120221677.87494276,0.0,-120221677.87494276,8758.0,0.0,EA,8758.0,0.0,CFT,8758.0,0.0,LB,60445392.06899074,0.0,0.0,0.0,36036785.80595203,0.0,0.0,0.0,0.0,19000000.0,0.0,0.0,3451600.0,1287900.0,0.0,0.0,5.651490849833,,,1.953125,0.040908203125,,,OptiRisk
