id,scenarioname,startingperiodname,completionperiodname,facilityname,productname,bomname,processname,productionquantity,productionquantityuom,productionvolume,productionvolumeuom,productionweight,productionweightuom,productioncost,processcost,productiontime,productiontimeuom,latitude,longitude
1493,3. All 4 MFGs,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,FG_0001,BOM_FG_0001,None,3863.559676586713,EA,3863.559676586713,CFT,3863.559676586713,LB,15454238.706346853,0,0,HR,-19.9227,-43.9451
1494,3. All 4 MFGs,SinglePeriod,SinglePeriod,MFG_Ho Chi Minh,FG_0002,BOM_FG_0002,None,603.681199466674,EA,603.681199466674,CFT,603.681199466674,LB,3018405.997333369,0,0,HR,10.7758439,106.7017555
1495,3. All 4 MFGs,SinglePeriod,SinglePeriod,MFG_Chengdu,FG_0002,BOM_FG_0002,None,1207.362398933348,EA,1207.362398933348,CFT,1207.362398933348,LB,5131290.195466729,0,0,HR,30.659863,104.063372
1496,3. All 4 MFGs,SinglePeriod,SinglePeriod,MFG_Shanghai,FG_0002,BOM_FG_0002,None,2825.956401599978,EA,2825.956401599978,CFT,2825.956401599978,LB,12010314.70679991,0,0,HR,31.2322758,121.4692071
1497,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Ho Chi Minh,RM_0001,None,None,514.880646826574,EA,514.880646826574,CFT,514.880646826574,LB,0.0,0,0,HR,10.7758439,106.7017555
1498,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,RM_0001,None,None,7727.119353173426,EA,7727.119353173426,CFT,7727.119353173426,LB,0.0,0,0,HR,-19.9227,-43.9451
1499,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Ho Chi Minh,RM_0002,None,None,13911.0,EA,13911.0,CFT,13911.0,LB,0.0,0,0,HR,10.7758439,106.7017555
1500,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Ho Chi Minh,Pack_Style_1,None,None,514.880646826574,EA,514.880646826574,CFT,514.880646826574,LB,0.0,0,0,HR,10.7758439,106.7017555
1501,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,Pack_Style_1,None,None,7727.119353173426,EA,7727.119353173426,CFT,7727.119353173426,LB,0.0,0,0,HR,-19.9227,-43.9451
1502,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Ho Chi Minh,Pack_Style_2,None,None,18548.0,EA,18548.0,CFT,18548.0,LB,0.0,0,0,HR,10.7758439,106.7017555
