id,scenarioname,departingperiodname,arrivingperiodname,flowtype,originname,destinationname,productname,modename,flowquantity,flowquantityuom,flowweight,flowweightuom,flowvolume,flowvolumeuom,sourcingcost,transportationcost,shipmentcost,dutycost,intransitholdingcost,totalcost,transportdistance,transportdistanceuom,transporttime,transporttimeuom,transporttimerisk,timetoimportrisk,timetoexportrisk,originlatitude,originlongitude,destinationlatitude,destinationlongitude,inboundhandlingcost,outboundhandlingcost
2330,Baseline,SinglePeriod,SinglePeriod,Replenishment,Port_Long Beach,DC_Detroit,FG_0002,FTL,4637.0,EA,4637.0,LB,4637.0,CFT,0.0,16159022.503287224,0,0.0,0.0,16159022.503287224,2323.200704951078,MI,42.240012817292,HR,10.0,1.0,1.0,33.769016,-118.191604,42.331551,-83.04664,1391100.0,0.0
2331,Baseline,SinglePeriod,SinglePeriod,Replenishment,Port_Boston,DC_Detroit,FG_0001,FTL,3863.559676586713,EA,3863.559676586713,LB,3863.559676586713,CFT,0.0,4147633.931967823,0,0.0,0.0,4147633.931967823,715.684373852194,MI,13.012443160949,HR,5.753110790237,1.0,1.0,42.360253,-71.058291,42.331551,-83.04664,1931779.8382933566,0.0
2332,Baseline,SinglePeriod,SinglePeriod,Replenishment,Port_Hong Kong,Port_Long Beach,FG_0001,Ocean,257.440323413287,EA,257.440323413287,LB,257.440323413287,CFT,0.0,109257.36205110246,0,0.0,0.0,109257.36205110246,8487.975823096212,MI,154.326833147204,HR,10.0,2.333333333333,2.333333333333,22.2996535,114.1675485,33.769016,-118.191604,0.0,0.0
2333,Baseline,SinglePeriod,SinglePeriod,Replenishment,Port_Hong Kong,Port_Long Beach,FG_0002,Ocean,4637.0,EA,4637.0,LB,4637.0,CFT,0.0,1967937.194584857,0,0.0,0.0,1967937.194584857,8487.975823096212,MI,154.326833147204,HR,10.0,2.333333333333,2.333333333333,22.2996535,114.1675485,33.769016,-118.191604,0.0,0.0
2334,Baseline,SinglePeriod,SinglePeriod,Replenishment,Port_Recife,Port_Boston,FG_0001,Ocean,3863.559676586713,EA,3863.559676586713,LB,3863.559676586713,CFT,0.0,941093.6380971259,0,0.0,0.0,941093.6380971259,4871.640232711721,MI,88.575276958395,HR,10.0,2.333333333333,3.285714285714,-8.0642,-34.8782,42.360253,-71.058291,0.0,0.0
2229,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Seattle,FG_0001,LTL,894.0,EA,894.0,LB,894.0,CFT,0.0,4043886.428098403,0,0.0,0.0,4043886.428098403,2261.681447482328,MI,41.121480863315,HR,10.0,1.0,1.0,42.331551,-83.04664,47.603832,-122.330062,0.0,178800.0
2230,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Seattle,FG_0002,LTL,505.0,EA,505.0,LB,505.0,CFT,0.0,2284298.2619571513,0,0.0,0.0,2284298.2619571513,2261.681447482328,MI,41.121480863315,HR,10.0,1.0,1.0,42.331551,-83.04664,47.603832,-122.330062,0.0,50500.0
2231,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Pittsburgh,FG_0001,LTL,645.0,EA,645.0,LB,645.0,CFT,0.0,309849.3668039218,0,0.0,0.0,309849.3668039218,240.193307599939,MI,4.367151047272,HR,4.195307292467,1.0,1.0,42.331551,-83.04664,40.441694,-79.990086,0.0,129000.0
2232,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Pittsburgh,FG_0002,LTL,729.0,EA,729.0,LB,729.0,CFT,0.0,350201.8424807116,0,0.0,0.0,350201.8424807116,240.193307599939,MI,4.367151047272,HR,4.195307292467,1.0,1.0,42.331551,-83.04664,40.441694,-79.990086,0.0,72900.0
2233,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Raleigh,FG_0001,LTL,501.0,EA,501.0,LB,501.0,CFT,0.0,598483.2117892797,0,0.0,0.0,598483.2117892797,597.288634520239,MI,10.859793354913,HR,5.214948338728,1.0,1.0,42.331551,-83.04664,35.780398,-78.639099,0.0,100200.0
